time,X_value,Y_value,Z_value
38.018,5.02591,-8.04963,2.98286
38.105,5.13487,-8.13135,3.50043
38.205,5.21659,-8.15859,3.02372
38.305,5.14849,-8.09049,2.80579
38.408,5.23021,-8.06325,2.86027
38.506,5.17573,-8.06325,2.92837
38.607,5.17573,-8.17221,2.92837
38.706,5.23021,-8.09049,2.83303
38.807,5.17573,-8.11773,3.24164
38.906,5.05315,-8.09049,2.96924
39.010,5.12125,-8.10411,2.84665
39.106,5.05315,-8.02238,2.83303
39.208,5.05315,-8.09049,2.99648
39.306,5.31194,-8.09049,3.02372
39.409,5.14849,-8.06325,3.01010
39.506,5.18935,-8.00876,3.01010
39.608,5.13487,-8.09049,2.98286
39.707,5.25745,-8.09049,3.02372
39.810,5.14849,-7.99514,2.96924
39.910,5.18935,-8.06325,2.96924
40.035,5.13487,-8.06325,3.01010
40.107,5.02591,-7.99514,2.98286
40.208,5.10763,-8.03601,3.06458
40.307,5.13487,-8.00876,3.13268
40.411,5.08039,-8.02238,3.11906
40.509,5.08039,-8.04963,3.15992
40.610,5.05315,-8.06325,3.07820
40.708,4.99867,-8.11773,2.96924
40.810,5.16211,-8.07687,2.99648
40.908,5.05315,-8.07687,3.01010
41.008,5.16211,-7.99514,2.94200
41.117,5.03953,-7.99514,3.09182
41.209,4.97143,-8.06325,3.07820
41.309,4.93057,-8.09049,3.18716
41.411,4.98505,-8.07687,3.06458
41.509,5.02591,-8.09049,3.06458
41.609,4.98505,-8.06325,3.15992
41.711,5.05315,-8.09049,3.01010
41.811,5.12125,-8.02238,2.95562
41.909,5.10763,-8.06325,2.99648
42.010,5.12125,-8.04963,2.99648
42.109,5.05315,-8.06325,3.09182
42.209,5.02591,-8.13135,3.10544
42.310,4.99867,-8.02238,3.09182
42.409,5.01229,-8.06325,2.95562
42.513,5.16211,-8.07687,2.99648
42.610,5.18935,-8.02238,2.92837
42.712,5.10763,-8.09049,2.95562
42.810,5.13487,-8.03601,3.01010
