time,X_value,Y_value,Z_value
52.714,9.32994,0.31327,-2.17926
52.812,9.73855,-0.47671,-1.56634
52.914,10.03820,-0.92618,-1.70254
53.012,10.28336,0.95342,-1.32117
53.112,9.82027,-0.32689,-1.56634
53.212,9.90199,-0.69464,-1.62082
53.316,9.68407,-1.02153,-1.90685
53.414,9.83389,-0.96704,-1.48462
53.514,9.87475,-2.07029,-1.23945
53.614,9.65683,-0.66740,-1.96133
53.717,9.67045,-0.77636,-1.79789
53.815,9.61597,-0.70826,-2.12477
53.917,9.61597,-0.54481,-2.38356
54.015,9.62959,-0.61292,-2.07029
54.115,9.62959,-0.70826,-2.00219
54.215,9.62959,-0.81722,-1.97495
54.315,9.65683,-0.77636,-2.00219
54.417,9.67045,-0.78998,-2.05667
54.517,9.60235,-0.73550,-2.05667
54.616,9.60235,-0.80360,-2.02943
54.718,9.60235,-0.84446,-2.00219
54.816,9.58873,-0.83084,-2.12477
54.917,9.60235,-0.73550,-2.36994
55.016,9.61597,-0.74912,-2.31546
55.116,9.57510,-0.81722,-2.23374
55.217,9.56148,-0.83084,-2.30184
55.318,9.64321,-0.84446,-2.22012
55.416,9.60235,-0.76274,-2.27460
55.517,9.61597,-0.80360,-2.22012
55.616,9.57510,-0.84446,-2.12477
55.720,9.60235,-0.80360,-2.24736
55.816,9.50700,-0.80360,-2.16564
55.919,9.50700,-0.80360,-2.43804
56.017,9.64321,-0.65378,-2.57425
56.117,9.60235,-0.69464,-2.60149
56.219,9.41166,-0.95342,-2.36994
56.317,9.01667,-0.58567,-3.33699
56.417,8.79874,-0.38137,-3.54129
56.518,9.03029,-0.43585,-3.86818
56.617,9.12563,-0.47671,-3.93628
56.717,8.96219,-0.59930,-4.14059
56.818,9.24822,-0.76274,-4.22231
56.920,9.15287,-0.51757,-4.04524
57.019,9.08477,-0.44947,-4.01800
57.119,9.09839,-0.55843,-3.92266
57.220,9.05753,-0.54481,-3.82732
57.318,9.20736,-0.58567,-3.54129
57.418,9.26184,-0.57205,-3.55491
57.518,9.22098,-0.73550,-3.54129
57.625,9.34356,-0.65378,-3.55491
57.719,9.27546,-0.57205,-3.55491
57.823,9.24822,-0.58567,-3.39147
57.921,9.22098,-0.64016,-3.25526
58.023,9.31632,-0.53119,-3.29612
58.141,9.26184,-0.64016,-3.26888
58.221,9.37080,-0.83084,-3.15992
58.321,9.28908,-0.64016,-3.06458
58.421,9.42528,-0.84446,-2.92837
58.526,9.42528,-0.87170,-2.95562
58.621,9.38442,-0.89894,-2.95562
58.722,9.38442,-0.92618,-2.92837
58.823,9.35718,-0.87170,-2.99648
58.924,9.56148,-1.00791,-2.81941
59.022,9.43890,-0.92618,-2.91475
59.123,9.47976,-0.89894,-2.86027
59.222,9.38442,-0.85808,-2.90113
59.324,9.43890,-0.89894,-2.86027
