time,X_value,Y_value,Z_value
48.680,-5.70693,-0.89894,-8.03601
48.779,-6.64673,-0.59930,-8.06325
48.879,-5.80227,-0.66740,-8.03601
48.981,-5.82951,-0.92618,-7.95428
49.079,-5.82951,-0.76274,-7.98152
49.180,-5.46176,-0.55843,-8.06325
49.282,-6.34708,-0.81722,-7.38223
49.380,-6.15640,-0.73550,-7.54567
49.480,-6.25174,-0.76274,-7.57291
49.580,-6.11554,-0.81722,-7.45033
49.681,-6.21088,-0.62654,-7.50481
49.780,-6.46967,-0.78998,-7.45033
49.880,-6.45604,-0.69464,-7.64102
49.980,-6.15640,-0.64016,-6.76931
50.081,-6.57863,-0.88532,-7.09620
50.181,-6.53777,-0.57205,-7.34137
50.282,-6.59225,-0.65378,-7.46395
50.383,-6.67397,-0.70826,-7.42309
50.481,-6.52415,-0.64016,-7.31413
50.581,-6.53777,-0.51757,-7.31413
50.681,-6.56501,-0.61292,-7.24603
50.782,-6.63311,-0.73550,-7.25965
50.881,-6.60587,-0.64016,-7.34137
50.981,-6.57863,-0.65378,-7.28689
51.115,-6.72845,-0.68102,-7.28689
51.181,-6.64673,-0.69464,-7.55929
51.281,-6.51053,-0.70826,-7.54567
51.384,-6.59225,-0.66740,-7.35499
51.481,-6.44242,-0.66740,-7.32775
51.585,-6.63311,-0.50395,-6.37432
51.682,-7.09620,-0.59930,-6.26536
51.784,-6.76931,-0.92618,-6.87828
51.882,-6.76931,-0.64016,-6.96000
51.982,-7.02810,-0.76274,-7.12344
52.095,-6.55139,-0.46309,-7.20516
52.182,-6.74207,-0.64016,-7.10982
52.282,-6.74207,-0.59930,-7.21878
52.384,-6.40156,-0.68102,-6.96000
52.482,-6.78293,-0.57205,-7.40947
52.585,-6.74207,-0.69464,-7.20516
52.683,-6.76931,-0.61292,-7.30051
52.783,-6.68759,-0.68102,-7.02810
52.883,-6.76931,-0.61292,-7.02810
52.987,-6.74207,-0.66740,-7.10982
53.087,-6.82379,-0.70826,-7.21878
53.184,-6.79655,-0.61292,-7.28689
53.284,-6.74207,-0.70826,-7.13706
53.383,-6.66035,-0.58567,-7.12344
53.485,-6.42880,-0.70826,-7.08258
53.584,-6.51053,-0.55843,-7.31413
53.685,-6.60587,-0.57205,-7.24603
53.786,-6.53777,-0.54481,-7.31413
53.887,-6.53777,-0.55843,-7.25965
53.984,-6.53777,-0.61292,-7.39585
54.091,-6.57863,-0.64016,-7.35499
54.184,-6.49691,-0.58567,-7.28689
54.286,-6.48329,-0.61292,-7.30051
54.385,-6.52415,-0.58567,-7.31413
54.486,-6.55139,-0.59930,-7.34137
54.588,-6.52415,-0.57205,-7.43671
54.686,-6.46967,-0.58567,-7.38223
54.786,-6.49691,-0.65378,-7.38223
54.887,-6.48329,-0.54481,-7.40947
54.986,-6.46967,-0.61292,-7.40947
55.086,-6.49691,-0.61292,-7.34137
55.190,-6.53777,-0.58567,-7.38223
55.286,-6.55139,-0.55843,-7.28689
55.389,-6.53777,-0.58567,-7.35499
55.488,-6.52415,-0.57205,-7.40947
55.587,-6.52415,-0.61292,-7.28689
55.689,-6.51053,-0.59930,-7.32775
55.787,-6.53777,-0.53119,-7.34137
55.888,-6.51053,-0.54481,-7.40947
55.988,-6.48329,-0.54481,-7.34137
56.088,-6.48329,-0.51757,-7.42309
56.187,-6.46967,-0.51757,-7.31413
56.289,-6.52415,-0.57205,-7.32775
56.388,-6.48329,-0.57205,-7.36861
56.489,-6.51053,-0.55843,-7.42309
56.588,-6.53777,-0.57205,-7.38223
56.691,-6.49691,-0.50395,-7.38223
56.789,-6.49691,-0.53119,-7.31413
56.889,-6.53777,-0.55843,-7.31413
56.992,-6.51053,-0.55843,-7.34137
57.089,-6.52415,-0.54481,-7.35499
57.192,-6.52415,-0.54481,-7.38223
57.291,-6.44242,-0.51757,-7.32775
57.390,-6.46967,-0.51757,-7.28689
57.492,-6.45604,-0.55843,-7.32775
57.590,-6.49691,-0.55843,-7.39585
57.690,-6.45604,-0.58567,-7.40947
57.790,-6.44242,-0.57205,-7.45033
57.892,-6.46967,-0.57205,-7.38223
57.990,-6.41518,-0.55843,-7.35499
58.091,-6.38794,-0.57205,-7.36861
58.190,-6.42880,-0.58567,-7.34137
58.290,-6.41518,-0.55843,-7.38223
58.395,-6.44242,-0.53119,-7.39585
58.491,-6.44242,-0.54481,-7.42309
58.592,-6.52415,-0.49033,-7.50481
58.691,-6.44242,-0.69464,-7.45033
58.792,-6.46967,-0.65378,-7.43671
